decision_idx,agent_x,agent_y,chosen_idx,subgoal_x,subgoal_y,R,k,termination,q_selected,num_valid,timestamp
530,3.433534873540718,3.6764320982884273,2,7.745417792085655,-4.184520016942785,0.042440620894858706,10,MAX_STEPS,11.817852973937988,7,2629673
540,1.0878123169146718,2.8842123464084675,0,-3.899965422304825,0.9352939631358975,0.3285105176365579,10,MAX_STEPS,11.853391647338867,7,2629673
550,2.4506613292217514,4.994993586813779,1,5.719643134462145,7.962250548245428,2.516072045300144,10,MAX_STEPS,11.879622459411621,7,2629673
560,2.848126093342404,6.448333204056093,2,7.745417792085655,-4.184520016942785,-0.7944215423185355,10,MAX_STEPS,11.913347244262695,7,2629673
570,4.469498196525671,6.8588930100464225,3,9.71735803852219,8.12265168862908,-2.251074996986376,10,MAX_STEPS,11.929213523864746,7,2629673
580,2.8849222554549665,7.713968247409012,0,-3.899965422304825,0.9352939631358975,-0.0006202774202951761,10,MAX_STEPS,,6,2629673
590,2.18150728373834,8.22309251823381,0,-3.899965422304825,0.9352939631358975,-0.313707560715163,10,MAX_STEPS,11.901693344116211,7,2629673
600,1.7743822594057805,8.814071536689722,0,-3.899965422304825,0.9352939631358975,-0.4941395325553286,10,MAX_STEPS,11.875467300415039,7,2629673
610,1.4475590724613656,9.459298824751933,0,-3.899965422304825,0.9352939631358975,-0.5962067075461968,10,MAX_STEPS,11.839744567871094,7,2629673
620,1.1747357717907045,10.111086333210642,1,5.719643134462145,7.962250548245428,-0.729429855240294,10,MAX_STEPS,11.794317245483398,6,2629673
630,1.483845513778006,11.092950856991207,3,9.71735803852219,8.12265168862908,-0.17732417806906675,10,MAX_STEPS,11.738485336303711,6,2629673
640,1.7475023660846594,11.555087061697126,0,-3.899965422304825,0.9352939631358975,-2.554507747459364,10,MAX_STEPS,11.675816535949707,6,2629673
650,-0.41173103304481296,12.187177392036425,0,-3.899965422304825,0.9352939631358975,-1.098065872364237,10,MAX_STEPS,11.591581344604492,6,2629673
660,-2.227952138054591,11.843345063406543,0,-3.899965422304825,0.9352939631358975,-0.4640385966721857,10,MAX_STEPS,11.493294715881348,6,2629673
670,-3.4976143552833827,9.96318498032381,0,-3.899965422304825,0.9352939631358975,-1.6194546720377236,10,MAX_STEPS,11.383649826049805,6,2629673
680,-3.6248854585483774,7.466665795295269,0,-3.899965422304825,0.9352939631358975,0.99503418726662,10,MAX_STEPS,11.25418758392334,7,2629673
690,-2.009180412857987,5.582786041287104,2,7.745417792085655,-4.184520016942785,1.7181457164184146,10,MAX_STEPS,11.128323554992676,7,2629673
700,-0.24263947269127664,3.813793936986836,2,7.745417792085655,-4.184520016942785,1.6914049621566034,10,MAX_STEPS,11.026344299316406,7,2629673
710,1.5239928857241665,2.0448931172121743,2,7.745417792085655,-4.184520016942785,1.5377019779903227,10,MAX_STEPS,10.94820785522461,7,2629673
720,3.290625308422745,0.2759923616382073,2,7.745417792085655,-4.184520016942785,1.378630060359674,10,MAX_STEPS,10.888383865356445,7,2629673
730,5.057257731169227,-1.4929083938879175,2,7.745417792085655,-4.184520016942785,1.222442006741034,10,MAX_STEPS,10.840954780578613,7,2629673
738,6.470563669366446,-2.9080289983087866,2,7.745417792085655,-4.184520016942785,3.1874695888176556,8,SUBGOAL_REACHED,10.8013916015625,7,2629673
748,4.26346540445505,-2.291633349990811,0,-3.899965422304825,0.9352939631358975,0.9660904827067922,10,MAX_STEPS,10.804154396057129,6,2629673
758,1.9384589480445322,-1.372750954117922,0,-3.899965422304825,0.9352939631358975,1.152965399641786,10,MAX_STEPS,10.803542137145996,7,2629673
768,-0.3864659521047187,-0.45366216152717537,0,-3.899965422304825,0.9352939631358975,1.0227731578752948,10,MAX_STEPS,10.80329704284668,7,2629673
777,-1.9991902639159445,0.8489500296493966,0,-3.899965422304825,0.9352939631358975,3.0735144470636526,9,SUBGOAL_REACHED,10.801763534545898,7,2629673
787,-0.23239754816122452,2.606695753398448,1,5.719643134462145,7.962250548245428,2.6100824969337526,10,MAX_STEPS,10.8251314163208,6,2629673
797,1.7003231358847768,4.1923334316394,6,15.0,15.0,2.6293544220495706,10,MAX_STEPS,,7,2629673
807,-0.2984254572770957,3.1021947814007858,0,-3.899965422304825,0.9352939631358975,0.1423923130058014,10,MAX_STEPS,10.90759563446045,7,2629673
817,1.2609490846795264,1.2658449468421435,2,7.745417792085655,-4.184520016942785,1.289371042207736,10,MAX_STEPS,10.937664031982422,7,2629673
827,3.1745671395795734,-0.34290167100159596,2,7.745417792085655,-4.184520016942785,1.4619484442276298,10,MAX_STEPS,10.96523666381836,7,2629673
837,0.8869786081801732,-0.12719519911902655,0,-3.899965422304825,0.9352939631358975,0.5891877491681969,10,MAX_STEPS,10.992209434509277,7,2629673
847,2.376392330517091,1.7132545079707506,3,9.71735803852219,8.12265168862908,2.399920736829689,10,MAX_STEPS,11.011212348937988,7,2629673
857,0.07317049886514143,1.6331514767523003,0,-3.899965422304825,0.9352939631358975,0.4148055134131155,10,MAX_STEPS,11.038358688354492,7,2629673
866,-2.1429353331154335,1.2440825292278044,0,-3.899965422304825,0.9352939631358975,2.64790451070809,9,SUBGOAL_REACHED,11.056614875793457,7,2629673
876,-0.020336068729275347,0.07768215450096495,2,7.745417792085655,-4.184520016942785,1.7423445858150464,10,MAX_STEPS,,6,2629673
886,-1.9034712638815539,0.8414579267094113,0,-3.899965422304825,0.9352939631358975,2.7669343494252,10,SUBGOAL_REACHED,11.115891456604004,7,2629673
896,-0.1762544266917807,2.629368813653374,1,5.719643134462145,7.962250548245428,2.596526467979884,10,MAX_STEPS,11.155141830444336,6,2629673
906,-2.2864861318516403,1.765021667471185,0,-3.899965422304825,0.9352939631358975,2.4295415890895686,10,SUBGOAL_REACHED,11.200682640075684,7,2629673
916,-0.5361057604183251,3.2227967060908553,6,15.0,15.0,2.293224475141175,10,MAX_STEPS,,5,2629673
926,-2.4259652549269584,1.9560455040637346,0,-3.899965422304825,0.9352939631358975,2.3891233216798886,10,SUBGOAL_REACHED,11.302797317504883,7,2629673
