mihir@mihir-jetson:~/Data/DTQN/fov$ python train_dtqn.py 500 --eval-every 25 --save-every 10 --video-every 25
[ep  135/500] FAIL | dec=100 R=  +1.42 gdist= 13.0 | eps=0.1889 buf=  8333 upd=  8333 | 7.7s
[ep  136/500] FAIL | dec=100 R= +85.02 gdist= 18.9 | eps=0.1851 buf=  8433 upd=  8433 | 7.7s
[ep  137/500] FAIL | dec=100 R= -74.90 gdist= 12.0 | eps=0.1815 buf=  8533 upd=  8533 | 7.6s
[ep  138/500] OK   | dec= 25 R= +89.13 gdist=  2.0 | eps=0.1805 buf=  8558 upd=  8558 | 1.9s
[ep  139/500] OK   | dec= 42 R= +81.11 gdist=  1.8 | eps=0.1790 buf=  8600 upd=  8600 | 3.1s
[ep  140/500] FAIL | dec=100 R= +87.73 gdist= 13.4 | eps=0.1755 buf=  8700 upd=  8700 | 7.5s
[ep  141/500] OK   | dec= 51 R= +42.68 gdist=  1.9 | eps=0.1737 buf=  8751 upd=  8751 | 3.9s
[ep  142/500] OK   | dec= 69 R=+151.56 gdist=  1.8 | eps=0.1713 buf=  8820 upd=  8820 | 5.1s
[ep  143/500] FAIL | dec=100 R=+152.67 gdist= 14.0 | eps=0.1679 buf=  8920 upd=  8920 | 7.2s
[ep  144/500] FAIL | dec=100 R=+114.52 gdist= 10.2 | eps=0.1646 buf=  9020 upd=  9020 | 7.7s
[ep  145/500] OK   | dec= 39 R= +58.48 gdist=  1.8 | eps=0.1633 buf=  9059 upd=  9059 | 3.1s
[ep  146/500] FAIL | dec=100 R= +63.62 gdist= 14.2 | eps=0.1601 buf=  9159 upd=  9159 | 7.5s
[ep  147/500] FAIL | dec=100 R= +66.12 gdist= 17.7 | eps=0.1569 buf=  9259 upd=  9259 | 7.4s
[ep  148/500] OK   | dec= 48 R=+135.85 gdist=  1.8 | eps=0.1554 buf=  9307 upd=  9307 | 3.3s
[ep  149/500] OK   | dec= 93 R=+109.94 gdist=  1.8 | eps=0.1526 buf=  9400 upd=  9400 | 7.0s
MovieWriter ffmpeg unavailable; trying to use <class 'matplotlib.animation.PillowWriter'> instead.
[ep  150/500] FAIL | dec=100 R=+154.04 gdist= 10.3 | eps=0.1500 buf=  9500 upd=  9500 | 200.4s [video saved]
  >>> Last 25 eps: success=40.00%  avg_R=+72.47  total_time=1416s
[ep  151/500] FAIL | dec=100 R= +78.74 gdist= 18.1 | eps=0.1500 buf=  9600 upd=  9600 | 7.6s
[ep  152/500] OK   | dec= 48 R=+100.17 gdist=  1.9 | eps=0.1500 buf=  9648 upd=  9648 | 3.5s
